logMicros,flightMicros,logDt,state,voltage,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,altitude,temp,yPID,zPID,yServo,zServo,pyro1,pyro2,pyro1Cont,pyro2Cont,abort
61658228,0,17046,1,8.16,0.008,-0.003,-0.019,9.57,0.33,-0.27,0,0,0,-0.27,14.06,0,0,0,0,0,0,1,0,0
61676050,0,17822,1,8.16,0.008,-0.003,-0.019,9.55,0.32,-0.24,0,0,0,-0.27,14.07,0,0,0,0,0,0,1,0,0
61693369,0,17319,1,8.18,0.008,-0.003,-0.019,9.57,0.3,-0.26,0,0,0,-0.25,14.07,0,0,0,0,0,0,1,0,0
61710493,0,17124,1,8.17,0.008,-0.003,-0.019,9.56,0.32,-0.3,0,0,0,-0.27,14.05,0,0,0,0,0,0,1,0,0
61727538,0,17045,1,8.18,0.008,-0.003,-0.019,9.55,0.34,-0.3,0,0,0,-0.3,14.07,0,0,0,0,0,0,1,0,0
61745033,0,17495,1,8.17,0.008,-0.003,-0.019,9.58,0.35,-0.29,0,0,0,-0.3,14.06,0,0,0,0,0,0,1,0,0
61762313,0,17280,1,8.18,0.008,-0.003,-0.019,9.58,0.34,-0.28,0,0,0,-0.29,14.06,0,0,0,0,0,0,1,0,0
61779281,0,16968,1,8.18,0.008,-0.003,-0.019,9.57,0.36,-0.27,0,0,0,-0.29,14.06,0,0,0,0,0,0,1,0,0
61796271,0,16990,1,8.16,0.008,-0.003,-0.019,9.56,0.34,-0.26,0,0,0,-0.26,14.06,0,0,0,0,0,0,1,0,0
61814615,0,18344,1,8.17,0.008,-0.003,-0.02,9.55,0.32,-0.27,0,0,0,-0.27,14.06,0,0,0,0,0,0,1,0,0
61831661,0,17046,1,8.18,0.008,-0.003,-0.02,9.58,0.32,-0.25,0,0,0,-0.27,14.06,0,0,0,0,0,0,1,0,0
61849404,0,17743,1,8.17,0.008,-0.003,-0.02,9.57,0.35,-0.28,0,0,0,-0.26,14.06,0,0,0,0,0,0,1,0,0
61868362,0,18958,1,8.17,0.008,-0.003,-0.02,9.52,0.37,-0.29,0,0,0,-0.24,14.06,0,0,0,0,0,0,1,0,0
61885464,0,17102,1,8.16,0.008,-0.003,-0.02,9.56,0.38,-0.27,0,0,0,-0.23,14.07,0,0,0,0,0,0,1,0,0
61904363,0,18899,1,8.15,0.008,-0.003,-0.02,9.56,0.35,-0.28,0,0,0,-0.27,14.07,0,0,0,0,0,0,1,0,0
61923841,0,19478,1,8.17,0.008,-0.003,-0.02,9.56,0.34,-0.25,0,0,0,-0.27,14.06,0,0,0,0,0,0,1,0,0
61942057,0,18216,1,8.18,0.008,-0.003,-0.02,9.58,0.33,-0.28,0,0,0,-0.28,14.07,0,0,0,0,0,0,1,0,0
61961800,0,19743,1,8.18,0.008,-0.003,-0.02,9.56,0.33,-0.27,0,0,0,-0.27,14.08,0,0,0,0,0,0,1,0,0
61979234,0,17434,1,8.18,0.008,-0.003,-0.019,9.57,0.31,-0.25,0,0,0,-0.27,14.08,0,0,0,0,0,0,1,0,0
61996302,0,17068,1,8.17,0.008,-0.003,-0.02,9.56,0.35,-0.27,0,0,0,-0.27,14.07,0,0,0,0,0,0,1,0,0
62013404,0,17102,1,8.17,0.008,-0.003,-0.019,9.57,0.36,-0.27,0,0,0,-0.29,14.06,0,0,0,0,0,0,1,0,0
62031421,0,18017,1,8.18,0.008,-0.003,-0.02,9.55,0.37,-0.28,0,0,0,-0.27,14.06,0,0,0,0,0,0,1,0,0
62048610,0,17189,1,8.16,0.008,-0.003,-0.02,9.55,0.35,-0.27,0,0,0,-0.25,14.06,0,0,0,0,0,0,1,0,0
62065734,0,17124,1,8.17,0.008,-0.003,-0.02,9.55,0.34,-0.25,0,0,0.01,-0.21,14.05,0,0,0,0,0,0,1,0,0
62083620,0,17886,1,8.17,0.008,-0.003,-0.02,9.54,0.34,-0.27,-0.01,0,0,-0.23,14.07,0,0,0,0,0,0,1,0,0
62100312,0,16692,1,8.18,0.008,-0.003,-0.02,9.56,0.34,-0.27,0,0,0,-0.22,14.06,0,0,0,0,0,0,1,0,0
62117697,0,17385,1,8.18,0.008,-0.003,-0.02,9.56,0.32,-0.29,0,0,0,-0.22,14.06,0,0,0,0,0,0,1,0,0
62134750,0,17053,1,8.18,0.008,-0.003,-0.02,9.56,0.34,-0.28,0,0,0,-0.23,14.07,0,0,0,0,0,0,1,0,0
62152581,0,17831,1,8.17,0.008,-0.003,-0.02,9.55,0.36,-0.26,0,0,0,-0.22,14.06,0,0,0,0,0,0,1,0,0
62169593,0,17012,1,8.19,0.008,-0.002,-0.02,9.56,0.36,-0.23,0,0,0,-0.23,14.07,0,0,0,0,0,0,1,0,0
62189069,0,19476,1,8.16,0.008,-0.002,-0.02,9.54,0.32,-0.27,0,0,0,-0.23,14.05,0,0,0,0,0,0,1,0,0
62205794,0,16725,1,8.18,0.008,-0.002,-0.02,9.57,0.31,-0.29,0,0,0,-0.23,14.06,0,0,0,0,0,0,1,0,0
62224818,0,19024,1,8.17,0.008,-0.002,-0.02,9.55,0.33,-0.31,0,0,0,-0.25,14.08,0,0,0,0,0,0,1,0,0
62245136,0,20318,1,8.17,0.008,-0.002,-0.02,9.56,0.32,-0.31,0,0,0,-0.24,14.08,0,0,0,0,0,0,1,0,0
62262238,0,17102,1,8.17,0.008,-0.002,-0.02,9.56,0.33,-0.25,0,0,0,-0.24,14.07,0,0,0,0,0,0,1,0,0
62279552,0,17314,1,8.17,0.008,-0.002,-0.02,9.55,0.35,-0.25,0,0,0,-0.24,14.07,0,0,0,0,0,0,1,0,0
62297428,0,17876,1,8.17,0.008,-0.002,-0.02,9.59,0.32,-0.25,0,0,0,-0.25,14.07,0,0,0,0,0,0,1,0,0
